序号,阶段,任务,负责人,依赖任务,开始日期,结束日期,完成状态
1,阶段一：基础设施,项目代码仓库初始化（Git）,后端,,,,
2,阶段一：基础设施,微信小程序项目创建（AppID配置）,前端,,,,
3,阶段一：基础设施,后端项目初始化（Node.js + Fastify）,后端,1,,
4,阶段一：基础设施,数据库初始化（MySQL建表）,后端,3,,
5,阶段一：基础设施,行政区划数据导入（省/市/区县JSON）,后端,4,,
6,阶段一：基础设施,热门目的地种子数据录入（200条）,后端,4,,
7,阶段一：基础设施,高德地图API Key申请与配置,后端,,,,
8,阶段一：基础设施,AI服务接入配置（Claude/GPT Key）,后端,,,,
9,阶段一：基础设施,热门城市预设行程模板录入（20套）,后端,6,,
10,阶段一：基础设施,微信小程序合法域名配置,前端,2,,
11,阶段二：核心API开发,行政区划接口（省/市/区县/搜索）,后端,5,,
12,阶段二：核心API开发,POI搜索接口（高德封装）,后端,7,,
13,阶段二：核心API开发,POI数据缓存策略实现（Redis）,后端,11,,
14,阶段二：核心API开发,AI行程生成Prompt模板编写,后端,8,,
15,阶段二：核心API开发,AI行程生成服务（行程生成接口）,后端,12,14,,
16,阶段二：核心API开发,行程保存/列表/详情/删除接口,后端,15,,
17,阶段二：核心API开发,行程导出（文字格式）接口,后端,16,,
18,阶段二：核心API开发,随机玩推荐接口（目的地发现）,后端,6,,
19,阶段二：核心API开发,用户偏好上报与查询接口,后端,4,,
20,阶段二：核心API开发,微信登录接口（code换openid）,后端,,,,
21,阶段二：核心API开发,接口文档完善（请求/响应示例）,后端,20,,
22,阶段三：前端页面开发,全局样式（app.wxss）与设计Token,前端,10,,
23,阶段三：前端页面开发,API请求封装（services/api.js）,前端,10,,
24,阶段三：前端页面开发,行政区划选择组件（region-picker）,前端,11,,
25,阶段三：前端页面开发,标签选择组件（tag-selector）,前端,10,,
26,阶段三：前端页面开发,骨架屏组件（loading-skeleton）,前端,10,,
27,阶段三：前端页面开发,首页开发（双入口卡片）,前端,22,,
28,阶段三：前端页面开发,目的地选择页（多选+搜索+Picker）,前端,24,,
29,阶段三：前端页面开发,行程参数页（日期/天数/方式/补充）,前端,25,,
30,阶段三：前端页面开发,行程结果页（时间线展示）,前端,23,26,,
31,阶段三：前端页面开发,行程编辑功能（删除/调换/备注）,前端,30,,
32,阶段三：前端页面开发,行程导出功能（复制文字）,前端,31,,
33,阶段三：前端页面开发,随机玩输入页,前端,22,25,,
34,阶段三：前端页面开发,随机玩结果页（Top3卡片）,前端,33,,
35,阶段三：前端页面开发,我的页面（历史行程入口）,前端,23,,
36,阶段三：前端页面开发,小程序分享功能（onShareAppMessage）,前端,30,,
37,阶段四：前后端联调,行政区划接口联调,前后端,11,24,,
38,阶段四：前后端联调,行程生成接口联调,前后端,15,28,29,30,
39,阶段四：前后端联调,行程保存与展示联调,前后端,16,30,,
40,阶段四：前后端联调,随机玩完整流程联调,前后端,18,33,34,,
41,阶段四：前后端联调,微信登录与openid鉴权联调,前后端,20,23,,
42,阶段五：测试与优化,AI生成质量人工抽检（20条/周）,产品,38,,
43,阶段五：测试与优化,高德API限流问题处理（多Key轮询）,后端,13,,
44,阶段五：测试与优化,AI生成容错优化（模板降级）,后端,42,,
45,阶段五：测试与优化,页面加载性能优化（骨架屏/缓存）,前端,26,,
46,阶段五：测试与优化,行程结果页编辑交互优化,前端,31,,
47,阶段五：测试与优化,边界case处理（无POI/网络失败/空结果）,前后端,37,38,39,40,
48,阶段五：测试与优化,单元测试编写（后端API测试）,后端,21,,
49,阶段六：上线发布,生产环境数据库创建与建表,后端,,,,
50,阶段六：上线发布,生产环境云函数部署,后端,21,,
51,阶段六：上线发布,生产环境API网关配置,后端,50,,
52,阶段六：上线发布,生产环境域名配置（可选）,后端,51,,
53,阶段六：上线发布,小程序功能体验自测（完整流程）,产品,,,,
54,阶段六：上线发布,小程序提交审核,前端,53,,
55,阶段六：上线发布,审核问题修复与再提交,前端,54,,
56,阶段六：上线发布,正式版本发布,前端,55,,
